SITE	ZONE	LATITUDE	LONGITUDE	ET	DATE_CH	PHMA	PMVE	PMME	NM	BMME	BMVE	PBMA	RF	ORGANISME	DATE_RF	RF_ZH	RF_Ref	ZH_Ref	ZH_Elli	REFERENCE
Dunkerque	Abords de Dunkerque	51.05	2.366667	12.16		6.48	6.05	5	3.24	1.5	0.6	-0.01	N.A.L3 - 7	IGN	2013	9.504	6.811	-2.693	40.845	IGN69
Banc du Sandettié	Abords de Dunkerque	51.25	2.05	11.95		5.81	5.4	4.45	2.89	1.35	0.55	-0.02	pas de rattachement							
Dunkerque Ouest	Abords de Dunkerque	51.0225	2.180833	11.97		6.88	6.4	5.3	3.43	1.55	0.6	-0.04	pas de rattachement							
Gravelines	Abords de Dunkerque	51.016667	2.1	11.94		6.96	6.5	5.35	3.49	1.6	0.65	0.05	pas de rattachement							
Calais	Abords de Calais	50.969333	1.8675	11.76	2010	7.9	7.3	6.05	4.03	2.05	0.8	0.19	N.A.L3-159	IGN	2016	9.418	5.959	-3.459	40.007	IGN69
Wissant	Abords de Calais	50.883333	1.666667	11.53		8.62	8	6.6	4.44	2.35	1	0.39	pas de rattachement							
Boulogne-sur-Mer	Abords de Boulogne-sur-Mer	50.72745	1.5777	11.36	2017	9.67	9	7.3	5	2.7	1.15	0.39	N.BC-3 BIS	IGN	2016	12.867	8.485	-4.382	39.36	IGN69
Banc du Vergoyer	Abords de Boulogne-sur-Mer	50.594167	1.330333	11.15		9.55	8.9	7.2	4.92	2.65	1.05	0.33	pas de rattachement							
Le Touquet-Étaples	Abords de Boulogne-sur-Mer	50.5153	1.561	11.1	2012	10.14	9.45	7.6	5.2	2.8	1.15	0.36	N.C.L3-52	IGN	1982	14.58	10.135	-4.445	40.667	IGN69
Berck Plage - Fort Mahon	Abords de Boulogne-sur-Mer	50.341667	1.515833	11.05		10.54	9.75	7.85	5.37	2.95	1.15	0.29	N.C.L3 - 4A	IGN	1952		5.709			IGN69
Le Crotoy	Abords de Boulogne-sur-Mer	50.216667	1.633333				10.35	8.25					N.C.M3 - 31a	IGN	1989		7.764			IGN69
Saint-Valery-sur-Somme	Abords de Boulogne-sur-Mer	50.183333	1.616667	11.45			10.35	8.25					pas de rattachement							
Le Hourdel	Abords de Boulogne-sur-Mer	50.216667	1.566667	11.2			10.25	8.15					pas de rattachement							
Cayeux-sur-Mer	Abords de Boulogne-sur-Mer	50.183333	1.483333	10.92		10.58	9.85	8	5.49	3	1.2	0.42	pas de rattachement							
Bouée entrée Baie de Somme (AT-SO)	Abords de Boulogne-sur-Mer	50.235231	1.472297	10.9	2012	10.67	9.85	7.9	5.42	2.9	1.2	0.32	pas de rattachement							
Dieppe	Abords de Dieppe	49.93	1.085	10.73	2022	10.37	9.5	7.5	5.08	2.7	0.95	0.07	N.C.P3 - 2	IGN	2013	10.33	5.876	-4.454	39.721	IGN69
Le Tréport	Abords de Dieppe	50.066667	1.366667	10.81		10.31	9.5	7.5	5.05	2.6	0.9	0.1	N.C.N3P3 - 3	IGN	2013	10.053	5.521	-4.532	39.571	IGN69
Saint-Valery-en-Caux	Abords de Dieppe	49.883333	0.72	10.54		9.59	8.85	7	4.72	2.45	0.75	-0.05	NN' - 240	IGN	1998	14.895	10.62	-4.275		IGN69
Cherbourg	Abords de Cherbourg et du Havre	49.651167	-1.6355	7.88	2011	7.15	6.45	5.1	3.87	2.6	1.15	0.33	N.Q.Z3-3	IGN	2006	9.238	5.953	-3.285	43.713	IGN69
Fécamp	Abords de Cherbourg et du Havre	49.76235	0.36705	10.22	2012	9.27	8.55	6.95	4.96	2.85	1.25	0.4	NN'-169	IGN	1998	12.274	7.839	-4.435		IGN69
Étretat	Abords de Cherbourg et du Havre	49.713333	0.198333	10.11		8.76	8.25	6.75	4.8	2.85	1.25	0.36	N.C.T3U3 - 23	IGN	2008	11.565	7.198	-4.367		IGN69
Le Havre	Abords de Cherbourg et du Havre	49.481667	0.106167	9.85	2011	8.56	8	6.7	4.96	2.95	1.25	0.3	N.CP-15	IGN	2016	9.767	5.392	-4.375	40.651	IGN69
Le Havre-Antifer (Terminal pétrolier)	Abords de Cherbourg et du Havre	49.65	0.15	9.94		8.56	8.1	6.75	4.87	2.95	1.3	0.44	Repère du Grouin Type PAH. Rivet scellé au pied de la falaise à l'extrémité Nord Est du port pétrolier, derrière les cuves de carburant.	Shom	1990	13.377	8.967	-4.41		IGN69
Alpha-Baie de Seine	Abords de Cherbourg et du Havre	49.859731	-0.388656	9.96	2014	7.28	6.8	5.6	4.11	2.45	1.05	0.3	pas de rattachement							
PK 364,775 : Balise A	Abords de Cherbourg et du Havre	49.433333	0.121667	9.83		8.64	8	6.65	4.91	2.95	1.3	0.21	Coin Nord Est de la plateforme supérieure de la balise A	Shom	2013	15.66	11.28	-4.38	39.78	IGN69
PK 355,850 : Honfleur	Abords de Cherbourg et du Havre	49.416667	0.233333	10		8.56	8.05	6.75	5.03	3	1.65	0.57	CN - 215	IGN	2016	9.878	5.499	-4.379		IGN69
Trouville-Deauville	Abords de Cherbourg et du Havre	49.366667	0.083333	9.83		8.94	8.4	7	5.15	3.2	1.35	0.31	pas de rattachement							
Dives-sur-Mer	Abords de Cherbourg et du Havre	49.3	-0.1	9.79		8.83	8.3	6.9	5.08	3.15	1.35	0.29	pas de rattachement							
Ouistreham	Abords de Cherbourg et du Havre	49.283333	-0.25	9.7	2022	8.32	7.75	6.5	4.8	2.8	1.15	0.31	N.P.K3-2	IGN	1987	10.11	6.03	-4.08	41.731	IGN69
Courseulles-sur-Mer	Abords de Cherbourg et du Havre	49.335	-0.46										Repère de nivellement SHOM implanté horizontalement à l'extrémité du quai de la digue Est.	Shom	1988	9.114	5.124	-3.99		IGN69
Courseulles-sur-Mer (Large)	Abords de Cherbourg et du Havre	49.4	-0.466667	9.6	2011	8.02	7.4	6.15	4.59	2.65	1.15	0.27	pas de rattachement							
Arromanches-les-Bains	Abords de Cherbourg et du Havre	49.3555	-0.62	9.47		7.89	7.4	6.1	4.43	2.7	1.1	0.24	N.P.K3P3-32	IGN	1986	15.98	11.961	-4.019		IGN69
Port-en-Bessin	Abords de Cherbourg et du Havre	49.351389	-0.755556	9.41		7.88	7.35	6.05	4.4	2.7	1.15	0.3	N.P.K3O3 - 55	IGN	1986	20.905	17.008	-3.897		IGN69
Grandcamp (Entrée chenal de Carentan)	Abords de Cherbourg et du Havre	49.420179	-1.086623	9.24		7.58	7.1	5.8	4.4	2.6	1.2	0.52	N.P.K3O3 - 21	IGN	2009	10.645	6.558	-4.087		IGN69
Îles Saint-Marcouf	Abords de Cherbourg et du Havre	49.5	-1.133333	9.23		7.43	6.9	5.6	4.28	2.6	1.1	0.49	pas de rattachement							
Saint-Vaast-la-Hougue	Abords de Cherbourg et du Havre	49.587667	-1.264333	9.16	2017	7.36	6.8	5.5	4.08	2.5	1.05	0.29	N.P.K3M3-45	IGN	1985	11.054	7.58	-3.474	42.874	IGN69
Barfleur	Abords de Cherbourg et du Havre	49.666667	-1.25	8.94	2012	7.17	6.55	5.4	4.02	2.6	1.2	0.57	N.P.K3M3 - 69	IGN	2010	7.28	3.727	-3.553	42.801	IGN69
Omonville-la-Rogue	Abords de Cherbourg et du Havre	49.713833	-1.834667	7.65		6.93	6.3	5.05	3.77	2.6	1.15	0.27	N.Q.Y3Z3 - 5	IGN	2010	8.325	5.068	-3.257		IGN69
Saint-Malo	Abords de Saint-Malo	48.641167	-2.0275	6.13	2014	13.59	12.2	9.3	6.78	4.3	1.5	0.01	N.Q.K3L3-45	IGN	2013	14.485	8.196	-6.289	41.981	IGN69
Goury	Abords de Saint-Malo	49.714167	-1.948667	7.02	2014	8.83	8.1	6.7	5.06	3.5	1.3	0.13	N.Q.X3.Z3 - 2	IGN	1984	10.471	5.644	-4.827	42.629	IGN69
Herqueville	Abords de Saint-Malo	49.658333	-1.889167	6.75	2017	10.9	9.8	7.45	5.51	3.55	1.3	0.2	N.Q.X3Y3-6	IGN	1984	169.994	165.123	-4.871	42.524	IGN69
Diélette	Abords de Saint-Malo	49.55445	-1.863883	6.7	2018	10.86	9.75	7.5	5.49	3.55	1.3	0.17	N.Q.X3-12	IGN	1987	30.962	26.05	-4.912	42.637	IGN69
Carteret	Abords de Saint-Malo	49.372833	-1.787	6.55	2017	12.07	10.9	8.3	5.95	3.8	1.35	0.07	N.Q.S3X3 - 4	IGN	2010	14.795	9.562	-5.233		IGN69
Portbail	Abords de Saint-Malo	49.306833	-1.744667	6.56		12.71	11.45	8.75	6.32	4	1.4	0.1	N.Q.S.3.U3 - 22	IGN	2010	19.69	13.951	-5.739		IGN69
Saint-Germain-sur-Ay	Abords de Saint-Malo	49.2	-1.666667	6.51		13.09	11.7	8.9	6.42	4	1.35	0	pas de rattachement							
Le Sénéquet	Abords de Saint-Malo	49.099	-1.685167	6.47		13.39	12	9.15	6.65	4.25	1.45	0.07	pas de rattachement							
Pointe d'Agon	Abords de Saint-Malo	48.9885	-1.621833	6.42		14.07	12.7	9.7	7.05	4.45	1.55	-0.06	pas de rattachement							
Les Ardentes	Abords de Saint-Malo	48.964833	-1.8605	6.35		13.57	12.25	9.35	6.73	4.4	1.55	-0.03	pas de rattachement							
Grande-Île (Îles Chausey)	Abords de Saint-Malo	48.866667	-1.816667	6.31		14.44	12.9	10	7.38	4.85	1.9	0.42	pas de rattachement							
Granville	Abords de Saint-Malo	48.834167	-1.644333	6.34	2014	14.26	12.85	9.8	7.1	4.55	1.5	-0.13	N.Q.K3S3 - 30	IGN	2010	15.462	8.842	-6.62	41.205	IGN69
Le Mont-Saint-Michel	Abords de Saint-Malo	48.633333	-1.516667	6.21		14.86	13.2		7.19				N.Q.K3 - 77	IGN	1987	13.992	7.252	-6.74		IGN69
Cancale	Abords de Saint-Malo	48.68	-1.826667	6.22		14.52	13.05	9.95	7.2	4.55	1.6	0.09	N.Q.K3- 49 bis	IGN	2010	55.565	48.791	-6.774		IGN69
Saint-Briac-sur-Mer	Abords de Saint-Malo	48.634	-2.1685	6.04	2012	13.39	12.05	9.15	6.68	4.25	1.5	0	N.R.K3-154	IGN	2010	19.508	13.289	-6.219	42.177	IGN69
Le Guildo	Abords de Saint-Malo	48.575	-2.2125										N.R.K3Q3 - 98	IGN	1984	53.099	46.805	-6.294		IGN69
Île des Hébihens	Abords de Saint-Malo	48.616667	-2.21	6.09		13.34	12	9.15	6.65	4.2	1.5	0.02	pas de rattachement							
Saint-Cast	Abords de Saint-Malo	48.638333	-2.243333	6.07		13.31	12.1	9.25	6.64	4.35	1.6	0.03	N.R.K3-421	IGN	2010	19.151	12.887	-6.264	41.82	IGN69
Erquy	Abords de Saint-Malo	48.639217	-2.490183	5.89	2012	12.64	11.4	8.7	6.33	4	1.3	-0.09	N.R.K3Q3 - 51	IGN	1985	14.5	8.671	-5.829	43.245	IGN69
Dahouet	Abords de Saint-Malo	48.579167	-2.569333	5.88	2012	12.68	11.4	8.75	6.39	4.05	1.4	0	N.R.K3Q3 - 30	IGN	1985	13.36	7.494	-5.866		IGN69
Le Légué (Bouée)	Abords de Saint-Malo	48.566667	-2.683333	5.92		12.66	11.5	8.8	6.46	4.1	1.45	0.07	Repère du Service Topographique de la DDE scellé horizontalement dans le mur de l'abri de la machinerie de l'écluse, côté droit en sortant du port.	Shom	1990	13.51	7.564	-5.946	43.47	IGN69
Le Légué (Port)	Abords de Saint-Malo	48.533333	-2.733333				11.55	8.95					pas de rattachement							
Binic	Abords de Saint-Malo	48.6	-2.816667	5.86	2012	12.61	11.35	8.7	6.36	4.05	1.4	-0.02	N.R.K3V3 - 29	IGN	1985	13.565	7.667	-5.898	43.658	IGN69
Saint-Quay-Portrieux	Abords de Saint-Malo	48.6475	-2.818056	5.86	2022	12.62	11.45	8.8	6.46	4.15	1.55	0.23	N.R.K3V3-45a	IGN	2010	13.62	7.712	-5.908	43.72	IGN69
Brehec	Abords de Saint-Malo	48.7265	-2.945833	5.81	2010	12.45	11.2	8.6	6.37	4.1	1.55	0.2	N.R.K3P3-27	IGN	1985	64.085	58.2	-5.885	43.897	IGN69
Île de Bréhat	Abords de Saint-Malo	48.835167	-3.003333	5.77		11.68	10.55	8.2	5.95	3.75	1.35	0.1	N.R.K3 - 36	IGN	2010	11.536	6.031	-5.505	44.28	IGN69
Les Roches Douvres	Abords de Saint-Malo	49.104167	-2.813333	5.89		10.82	9.8	7.5	5.52	3.6	1.3	0.03	Douille d'arpentage scellé à l'Est du phare. Pérennité bonne.	Shom	2001	11.32	6.29	-5.03	44.41	IGN69
Les Héaux-de-Bréhat	Abords de Saint-Malo	48.908144	-3.083333	5.55		11.01	9.95	7.75	5.7	3.7	1.3	0.09	Repère de nivellement scellé horizontalement au pied du phare des Heaux de Bréhat à droite de l'échelle d'accès.	Shom		8.042			44.533	
Lézardrieux	Abords de Saint-Malo	48.783333	-3.1	5.72		11.59	10.55	8.15	5.9	3.8	1.3	0.04	N.R.K3-373	IGN	2010	18.22	12.751	-5.469	44.416	IGN69
Paimpol	Abords de Saint-Malo	48.790333	-2.955333	5.8	2020	12.09	10.95	8.45	6.21	4	1.5	0.29	N.R.K3 - 27	IGN	2010	21.175	15.526	-5.649	44.162	IGN69
Roscoff	Entrée de La Manche	48.718694	-3.965694	4.9	2011	9.8	8.9	7.1	5.3	3.4	1.3	0.18	N.R.K3Y3 - 13	IGN	1985	12.983	8.219	-4.764	45.229	IGN69
Port-Béni	Entrée de La Manche	48.847167	-3.172333	5.43	2010	10.97	9.85	7.7	5.7	3.6	1.35	0.2	N.R.K3 - 354	IGN	1987	43.763	38.489	-5.274		IGN69
Tréguier	Entrée de La Manche	48.786333	-3.219333	5.52		11.04	10.05	7.9	5.72	3.75	1.45	0.16	N.R.K3O3 - 34	IGN	1985	11.9	6.612	-5.288		IGN69
Perros-Guirec	Entrée de La Manche	48.82	-3.458333	5.22	2012	10.4	9.35	7.4	5.52	3.55	1.3	0.13	N.R.K3 - 318	IGN	1987	63.62	58.631	-4.989	44.9	IGN69
Ploumanac'h	Entrée de La Manche	48.836667	-3.486	5.21		10.31	9.3	7.4	5.5	3.55	1.35	0.2	N.R.K3 -312	IGN	1987	10.319	5.274	-5.045		IGN69
Trébeurden	Entrée de La Manche	48.770833	-3.586667	4.99		10.15	9.25	7.4	5.48	3.55	1.4	0.23	N.R.K3- 295	IGN	2010	44.296	39.253	-5.043		IGN69
Locquemeau	Entrée de La Manche	48.725	-3.581667	5.01		10.06	9.15	7.3	5.38	3.45	1.3	0.17	N.R.K3N3 - 11	IGN	1985	121.202	116.279	-4.923	44.839	IGN69
Locquirec	Entrée de La Manche	48.7	-3.633333	5	2010	10.13	9.25	7.35	5.49	3.55	1.55	0.45	N.R.K3-268	IGN	1966	14.762	9.782	-4.98		IGN69
Anse de Primel	Entrée de La Manche	48.716667	-3.833333	4.95		10.14	9.05	7.2	5.46	3.45	1.3	0.29	N.R.K3 - 229	IGN	1987	12.07	7.092	-4.978		IGN69
Château du Taureau	Entrée de La Manche	48.683333	-3.883333	4.92		9.82	8.95	7.15	5.27	3.4	1.3	0.14	pas de rattachement							
Morlaix (Porte aval de l'écluse)	Entrée de La Manche	48.589333	-3.838833				9.45						pas de rattachement							
Île de Batz	Entrée de La Manche	48.741667	-4.013333				9	7.05	5.25	3.5	1.4		pas de rattachement							
Brignogan-Plage	Entrée de La Manche	48.6785	-4.3175	4.64		9.24	8.45	6.7	4.92	3.2	1.2	0.18	pas de rattachement							
L'Aber Wrac'h	Entrée de La Manche	48.598333	-4.561667	4.4		8.52	7.8	6.15	4.46	2.8	1.05	0.12	N.R.Y3 - 64	IGN	1987	57.54	53.474	-4.066		IGN69
L'Aber Benoît	Entrée de La Manche	48.5915	-4.633333	4.34		8.79	8	6.35	4.68	3.05	1.25	0.27	N.R.Y3-64	IGN	1987	57.696	53.474	-4.222		IGN69
Portsall	Entrée de La Manche	48.566667	-4.716667	4.22	2019	8.57	7.7	6.05	4.45	2.85	1.1	0.25	N.R.Y3 - 40	IGN	2007	28.296	24.391	-3.905	47.133	IGN69
L'Aber Ildut	Entrée de La Manche	48.471167	-4.7545	4.12	2012	8.24	7.35	5.75	4.26	2.65	1	0.05	N.R.Y3 - 25	IGN	1987	24.805	21.077	-3.728	46.976	IGN69
Baie du Stiff (Île d'Ouessant)	Entrée de La Manche	48.468018	-5.054047	4.13	2015	8.02	7.15	5.65	4.16	2.65	1	0.11	N.R.Y3-122	IGN	2011	30.183	26.511	-3.672	47.402	IGN69
Brest	Iroise, Sud Bretagne	48.3825	-4.494722	3.75		7.93	7.05	5.5	4.14	2.7	1.15	0.25	NO - 47	IGN	2010	9.541	5.906	-3.635	47.033	IGN69
Baie de Lampaul (Île d'Ouessant)	Iroise, Sud Bretagne	48.45	-5.1	3.81	2013	7.86	7	5.5	4.09	2.7	1.15	0.3	N.R.Y3 - 126	IGN	2010	18.853	15.179	-3.674	47.471	IGN69
Île Molène	Iroise, Sud Bretagne	48.4035	-4.954667	4.08	2017	8.21	7.3	5.8	4.37	2.85	1.25	0.34	N.R.Y3-119	IGN	2010	17.032	13.191	-3.841	47.157	IGN69
Le Conquet	Iroise, Sud Bretagne	48.359528	-4.782836	3.81	2017	7.75	6.85	5.35	4.01	2.6	1.1	0.27	NO - 100	IGN	2010	20.28	16.777	-3.503	47.399	IGN69
Camaret-sur-Mer	Iroise, Sud Bretagne	48.278333	-4.59	3.54		7.45	6.6	5.15	3.83	2.45	1	0.07	O.LM - 66	IGN	2010	13.693	10.379	-3.314	47.444	IGN69
Trez-Hir	Iroise, Sud Bretagne	48.339667	-4.699333	3.63	2016	7.47	6.65	5.2	3.91	2.6	1.1	0.26	O.M.L3 - 4	IGN	1986	61.165	57.734	-3.431	47.401	IGN69
Le Dellec	Iroise, Sud Bretagne	48.353667	-4.562	3.7	2012	7.76	6.85	5.35	3.99	2.65	1.15	0.3	NO-68	IGN	1996	84.438	80.847	-3.591	47.18	IGN69
Moulin Blanc	Iroise, Sud Bretagne	48.395	-4.43	3.75	2019	8.03	7.15	5.6	4.21	2.75	1.2	0.29	NO-36	IGN	1996	11.004	7.278	-3.726	46.904	IGN69
Landerneau	Iroise, Sud Bretagne	48.449333	-4.252833				7.25	5.65		3.75	3.75		OQ - 431	IGN	1996	8.621	4.893	-3.728		IGN69
Tinduff	Iroise, Sud Bretagne	48.335833	-4.3675	3.81	2017	8.15	7.3	5.7	4.27	2.85	1.2	0.25	O.M.K3 - 88	IGN	1986	38.725	34.984	-3.741	46.873	IGN69
Pont de Térénez	Iroise, Sud Bretagne	48.28	-4.268883	3.82		8.39	7.45	5.85	4.43	2.9	1.3	0.32	Repère de nivellement SHOM scellé horizontalement dans le mur du souterrain n° 4 de la pyrotechnie de Térénez.	Shom	2007	11.897	8.154	-3.743	46.904	IGN69
Morgat	Iroise, Sud Bretagne	48.2245	-4.497333	3.59	2012	7.5	6.65	5.2	3.88	2.55	1.05	0.26	O.L.K3- 214	IGN	1986	7.925	4.553	-3.372	47.31	IGN69
Douarnenez	Iroise, Sud Bretagne	48.1	-4.316667	3.57	2015	7.39	6.55	5.05	3.83	2.45	0.95	0.12	O.L.K3 - 41	IGN	2010	32.295	28.963	-3.332		IGN69
Port du Vorlen	Iroise, Sud Bretagne	48.053	-4.7125	3.62		6.97	6.2	4.85	3.65	2.4	1.05	0.29	O.L.K3-249	IGN	1986	73.856	70.611	-3.245	47.293	IGN69
Île de Sein	Iroise, Sud Bretagne	48.040167	-4.8475	3.6	2013	6.98	6.2	4.85	3.59	2.35	0.95	0.17	O.L.K3-479-I	IGN	2010	10.066	7.065	-3.001	47.604	IGN69
Concarneau	Iroise, Sud Bretagne	47.873333	-3.906667	3.41	2011	5.74	5.1	4	3.06	2	0.9	0.23	O.L.K 3P3 - 12	IGN	1985	22.669	20.135	-2.534	46.84	IGN69
Plogoff	Iroise, Sud Bretagne	48.024	-4.698667	3.2		6.32	5.7	4.45	3.26	2.2	1.05	0.29	Repère situé sur un transformateur à la sortie du hameau de Lescoff.	Shom	1989	65.205	62.585	-2.62		IGN69
Audierne (Quai Pelletan)	Iroise, Sud Bretagne	48.02155	-4.537583	3.39	2019	5.81	5.25	4.05	3.05	2	0.85	0.23	O.L.K3L3-74	IGN	2010	6.524	3.993	-2.531	47.795	IGN69
Saint-Guénolé	Iroise, Sud Bretagne	47.814	-4.3825	3.33		5.85	5.2	4.05	3.01	2	0.9	0.24	O.L.K3-270	IGN	1986	6.976	4.465	-2.511		IGN69
Le Guilvinec	Iroise, Sud Bretagne	47.794167	-4.2785	3.44		5.7	5.05	3.95	3.04	1.95	0.85	0.16	O.L.K3.R3 - 29	IGN	2010	10.063	7.526	-2.537		IGN69
Lesconil	Iroise, Sud Bretagne	47.795167	-4.211333	3.4		5.72	5.05	3.95	3.05	2	0.9	0.18	O.L.K3 - 306	IGN	1986	9.12	6.711	-2.409		IGN69
Loctudy	Iroise, Sud Bretagne	47.833333	-4.166667	3.37		5.59	4.95	3.85	2.91	1.85	0.75	0.1	O.L.K3.R3 - 48	IGN	2010	10.715	8.217	-2.498		IGN69
Bénodet	Iroise, Sud Bretagne	47.881	-4.115833	3.47	2012	5.93	5.3	4.15	3.21	2.1	1	0.29	O.L.K3.M3 n° 21	IGN	2010	7.26	4.566	-2.694	46.793	IGN69
Les trois Tourtes	Iroise, Sud Bretagne	47.946167	-4.1125	3.97	2012	6.07	5.45	4.25	3.26	2.05	0.85	0.07	O.L.M3-16	IGN	1986	51.417	48.725	-2.692	47.004	IGN69
Corniguel	Iroise, Sud Bretagne	47.966667	-4.1				5	3.9		1.65	0.45		pas de rattachement							
Quimper	Iroise, Sud Bretagne	48	-4.1				5.15	4					pas de rattachement							
Port-la-Forêt	Iroise, Sud Bretagne	47.901	-3.973833	3.38	2010	5.73	5.2	4.05	3.02	2.05	0.9	0.16	O.L.K3N3 – 6	IGN	2010	16.153	13.569	-2.584	46.831	IGN69
Penfret (Îles de Glénan)	Iroise, Sud Bretagne	47.722167	-3.955	3.39		5.71	5.15	4.05	3	1.95	0.9	0.23	Repère SHOM scellé dans le haut de la cale de l'île de Penfret.	Shom	1995	5.674	3.136	-2.538		IGN69
Port Manec'h	Iroise, Sud Bretagne	47.800833	-3.7385	3.37		5.58	5.05	3.95	2.93	1.95	0.9	0.18	O.L.K3 - 52	IGN	1985	5.905	3.432	-2.473		IGN69
Le Pouldu	Iroise, Sud Bretagne	47.762	-3.542667	3.36		5.7	5.15	4.1	3.06	2.1	1	0.27	O.L.K3-76	IGN	1986	20.66	17.739	-2.921		IGN69
Quimperlé	Iroise, Sud Bretagne	47.866667	-3.55				5.3	4.3					pas de rattachement							
Port-Tudy	Iroise, Sud Bretagne	47.644583	-3.446306	3.4	2011	5.86	5.2	4.15	3.19	2.1	0.95	0.29	O.L.K3 - 391	IGN	2010	39.975	37.233	-2.742	46.196	IGN69
Port-Louis (Locmalo)	Iroise, Sud Bretagne	47.7055	-3.345333	3.48		5.71	5.2	4.15	3.13	2.1	1	0.32	O.L.K3S3-4	IGN	1985	12.99	10.392	-2.598		IGN69
Lorient (Port de commerce)	Iroise, Sud Bretagne	47.7375	-3.3545	3.51	2021	5.85	5.2	4.1	3.16	2.05	0.9	0.2	O.L.K3 - 9	IGN	1986	14.605	11.975	-2.63	46.197	IGN69
Hennebont	Iroise, Sud Bretagne	47.8	-3.283333	3.69		5.72	5.1	4.05	3.08	1.9	0.85	0.31	pas de rattachement							
Entrée rivière d'Étel	Iroise, Sud Bretagne	47.644167	-3.211667	3.5		5.51	5.15	4.1	3.21	2.15	0.95	1.14	O.L.K3 - 140	IGN	1958	7.29	4.517	-2.773	45.86	IGN69
Port d'Étel	Iroise, Sud Bretagne	47.656667	-3.206667	3.76		5.59	5	4.2	3.25	2.25	1.6	1.19	O.L.K3-141	IGN	2010	5.71	2.975	-2.735		IGN69
Portivy	Iroise, Sud Bretagne	47.531333	-3.147333	3.4		5.8	5.25	4.2	3.15	2.1	0.95	0.23	Repère SHOM scellé horizontalement dans la jetée de Portivy.	Shom	1985	6.509	3.749	-2.76		IGN69
Port-Maria	Iroise, Sud Bretagne	47.48333	-3.1333	3.41		5.97	5.35	4.25	3.2	2.1	0.95	0.24	O.KL - 63	IGN	1985	10.29	7.352	-2.938		IGN69
Les Sables d'Olonne	Loire, Vendée	46.4975	-1.793611	3.35	2022	6.03	5.35	4.3	3.31	2.15	0.85	0.14	O.HI - 65	IGN	2017	7.756	4.928	-2.828	44.54	IGN69
Port-Navalo	Loire, Vendée	47.55	-2.916667	3.75	2008	5.65	5.05	4	3.05	1.9	0.7	0.05	O.K.K3.P3 - 48	IGN	1985	6.592	3.967	-2.625	46.283	IGN69
Le Palais (Belle-Île)	Loire, Vendée	47.347667	-3.152167	3.4		5.78	5.25	4.15	3.07	2	0.8	0.02	O.K.K - 53	IGN	2010	7.68	5.056	-2.624		IGN69
Port-Haliguen	Loire, Vendée	47.483333	-3.1	3.57		5.87	5.35	4.25	3.13	2	0.75	-0.02	O.K.K3-2	IGN	1986	7.73	5.031	-2.699		IGN69
La Trinité-sur-Mer	Loire, Vendée	47.5875	-3.025556	3.61		6.1	5.45	4.35	3.3	2.1	0.85	0.1	O.K.K3P3-22	IGN	1985	5.594	2.74	-2.854	45.795	IGN69
Auray (St-Goustan)	Loire, Vendée	47.663383	-2.978117	4.03		5.2	4.7	3.65	2.76	1.6	0.5	0.08	O.K.P3-33	IGN	1986	4.765	2.54	-2.225	46.353	IGN69
Fort Espagnol	Loire, Vendée	47.612333	-2.953167	3.91		5.21	4.65	3.65	2.78	1.55	0.6	0.08	Douille SHOM scellée dans l'angle Sud-Est du quai de la cale de Fort Espagnol : repère des tirants d'air.	Shom	2003	6.82	4.526	-2.294	46.32	IGN69
Locmariaquer	Loire, Vendée	47.57	-2.93	3.88		5.16	4.6	3.65	2.76	1.55	0.6	0.08	"Douille SHOM scellée sur le quai du Guilvin à 60 m du bar ""l'Angélus"" en allant vers l'espar proche du lampadaire : repère des tirants d'air à pleine mer."	Shom	2003	6.074	3.825	-2.249	46.206	IGN69
Arradon	Loire, Vendée	47.615	-2.83	5.51		3.05	2.9	2.25	1.53	0.65	0.2	0.05	Repère SHOM scellé dans le mur (côté Est) de la petite cale du port de la Pointe d'Arradon.	Shom	1983	4.194	3.173	-1.021	47.446	IGN69
Vannes	Loire, Vendée	47.638333	-2.760833	5.65		3.35	3.1	2.5	1.73	0.7	0.25	0.05	O.K.P3-139	IGN	2010	3.806	2.773	-1.033	47.325	IGN69
Saint-Armel (Le Passage)	Loire, Vendée	47.591333	-2.715	5.68		3.45	3.2	2.55	1.78	0.9	0.3	0.05	Repère SHOM scellé dans le côté gauche et à la naissance de la jetée de la Garenne à Montsarrac	Shom	2005	3.822	2.608	-1.214	47.078	IGN69
Le Logeo	Loire, Vendée	47.547833	-2.8455	5.36		3.15	2.95	2.35	1.59	0.7	0.25	0.05	Repère SHOM scellé dans le muret gauche délimitant la cale principale du Logéo.	Shom	2004	4.18	3.114	-1.066	47.299	IGN69
Port du Crouesty	Loire, Vendée	47.5426	-2.89495	3.57	2014	6.17	5.4	4.3	3.32	2.05	0.8	0.01	O.K.K3P3 - 53	IGN	2010	15.944	13.094	-2.85	45.634	IGN69
Pénerf	Loire, Vendée	47.514333	-2.623833	3.53		6.1	5.45	4.3	3.28	2.05	0.75	0.01	O.K.K3 - 15 BIS	IGN	1986	8.12	5.358	-2.762		IGN69
Tréhiguier	Loire, Vendée	47.495	-2.44	3.65		6.36	5.55	4.4	3.4	2.1	0.75	-0.03	O.K.K3O3 - 11	IGN	1986	9.397	6.467	-2.93		IGN69
Houat	Loire, Vendée	47.404	-2.949667	3.5		5.81	5.35	4.25	3.17	2	0.75	0.11	pas de rattachement							
